code,year,antigen_base,drop_pct
AFR,1982,DTPCV,0.45454545454545453
AFR,1982,MCV,0.0
AFR,1983,DTPCV,0.41935483870967744
AFR,1983,MCV,0.0
AFR,1984,DTPCV,0.4418604651162791
AFR,1984,MCV,0.0
AFR,1985,DTPCV,0.38461538461538464
AFR,1985,MCV,0.0
AFR,1986,DTPCV,0.3620689655172414
AFR,1986,MCV,0.0
AFR,1987,DTPCV,0.3333333333333333
AFR,1987,MCV,0.0
AFR,1988,DTPCV,0.30303030303030304
AFR,1988,MCV,0.0
AFR,1989,DTPCV,0.2916666666666667
AFR,1989,MCV,0.0
AFR,1990,DTPCV,0.2597402597402597
AFR,1990,MCV,0.0
AFR,1991,DTPCV,0.2898550724637681
AFR,1991,MCV,0.0
AFR,1992,DTPCV,0.2857142857142857
AFR,1992,MCV,0.0
AFR,1993,DTPCV,0.2857142857142857
AFR,1993,MCV,0.0
AFR,1994,DTPCV,0.26666666666666666
AFR,1994,MCV,0.0
AFR,1995,DTPCV,0.2602739726027397
AFR,1995,MCV,0.0
AFR,1996,DTPCV,0.28169014084507044
AFR,1996,MCV,0.0
AFR,1997,DTPCV,0.3333333333333333
AFR,1997,MCV,0.0
AFR,1998,DTPCV,0.2647058823529412
AFR,1998,MCV,0.0
AFR,1999,DTPCV,0.24615384615384617
AFR,1999,MCV,0.0
AFR,2000,DTPCV,0.21212121212121213
AFR,2000,MCV,0.9056603773584906
AFR,2001,DTPCV,0.21212121212121213
AFR,2001,MCV,0.9056603773584906
AFR,2002,DTPCV,0.22058823529411764
AFR,2002,MCV,0.9074074074074074
AFR,2003,DTPCV,0.2
AFR,2003,MCV,0.9107142857142857
AFR,2004,DTPCV,0.18055555555555555
AFR,2004,MCV,0.9310344827586207
AFR,2005,DTPCV,0.1506849315068493
AFR,2005,MCV,0.9333333333333333
AFR,2006,DTPCV,0.14473684210526316
AFR,2006,MCV,0.9365079365079365
AFR,2007,DTPCV,0.14285714285714285
AFR,2007,MCV,0.9384615384615385
AFR,2008,DTPCV,0.125
AFR,2008,MCV,0.9402985074626866
AFR,2009,DTPCV,0.10975609756097561
AFR,2009,MCV,0.9305555555555556
AFR,2010,DTPCV,0.1125
AFR,2010,MCV,0.9444444444444444
AFR,2011,DTPCV,0.1125
AFR,2011,MCV,0.9428571428571428
AFR,2012,DTPCV,0.10256410256410256
AFR,2012,MCV,0.9142857142857143
AFR,2013,DTPCV,0.1038961038961039
AFR,2013,MCV,0.8985507246376812
AFR,2013,RCV,0.0
AFR,2014,DTPCV,0.08974358974358974
AFR,2014,MCV,0.855072463768116
AFR,2014,RCV,0.0
AFR,2015,DTPCV,0.10126582278481013
AFR,2015,IPV,0.0
AFR,2015,MCV,0.75
AFR,2015,RCV,0.0
AFR,2016,DTPCV,0.09876543209876543
AFR,2016,IPV,0.0
AFR,2016,MCV,0.6764705882352942
AFR,2016,RCV,0.0
AFR,2017,DTPCV,0.08641975308641975
AFR,2017,IPV,0.0
AFR,2017,MCV,0.6521739130434783
AFR,2017,RCV,0.0
AFR,2018,DTPCV,0.08536585365853659
AFR,2018,IPV,0.0
AFR,2018,MCV,0.6428571428571429
AFR,2018,RCV,0.0
AFR,2019,DTPCV,0.07228915662650602
AFR,2019,IPV,0.0
AFR,2019,MCV,0.5352112676056338
AFR,2019,RCV,0.0
AFR,2020,DTPCV,0.0975609756097561
AFR,2020,IPV,0.0
AFR,2020,MCV,0.43478260869565216
AFR,2020,RCV,0.0
AFR,2021,DTPCV,0.09876543209876543
AFR,2021,IPV,0.9452054794520548
AFR,2021,MCV,0.40298507462686567
AFR,2021,RCV,0.0
AFR,2022,DTPCV,0.09876543209876543
AFR,2022,IPV,0.726027397260274
AFR,2022,MCV,0.35294117647058826
AFR,2022,RCV,0.0
AFR,2023,DTPCV,0.10843373493975904
AFR,2023,IPV,0.56
AFR,2023,MCV,0.3
AFR,2023,RCV,0.0
AGO,1983,DTPCV,0.76
AGO,1983,MCV,0.0
AGO,1984,DTPCV,0.7142857142857143
AGO,1984,MCV,0.0
AGO,1985,DTPCV,0.7142857142857143
AGO,1985,MCV,0.0
AGO,1986,DTPCV,0.6774193548387096
AGO,1986,MCV,0.0
AGO,1987,DTPCV,0.6774193548387096
AGO,1987,MCV,0.0
AGO,1988,DTPCV,0.6363636363636364
AGO,1988,MCV,0.0
AGO,1989,DTPCV,0.5609756097560976
AGO,1989,MCV,0.0
AGO,1990,DTPCV,0.5
AGO,1990,MCV,0.0
AGO,1991,DTPCV,0.49019607843137253
AGO,1991,MCV,0.0
AGO,1992,DTPCV,0.5333333333333333
AGO,1992,MCV,0.0
AGO,1993,DTPCV,0.45454545454545453
AGO,1993,MCV,0.0
AGO,1994,DTPCV,0.4807692307692308
AGO,1994,MCV,0.0
AGO,1995,DTPCV,0.25
AGO,1995,MCV,0.0
AGO,1996,DTPCV,0.4716981132075472
AGO,1996,MCV,0.0
AGO,1997,DTPCV,0.3787878787878788
AGO,1997,MCV,0.0
AGO,1998,DTPCV,0.22598870056497178
AGO,1998,MCV,0.0
AGO,1999,DTPCV,0.5751633986928104
AGO,1999,MCV,0.0
AGO,2000,DTPCV,0.29545454545454547
